01DC tn-tl-fd1
01DD ss7ns
01DE spsc
01DF iafserver
01E0 iafdbase
01E1 ph
01E2 bgs-nsi
01E3 ulpnet
01E4 integra-sme
01E5 powerburst
01E6 avian
01E7 saft
01E8 gss-http
01E9 nest-protocol
01EA micom-pfs
01EB go-login
01EC ticf-1
01ED ticf-2
01EE pov-ray
01EF intecourier
01F0 pim-rp-disc
01F1 dantz
01F2 siam
01F3 iso-ill
01F4 isakmp
01F5 stmf
01F6 asa-appl-proto
01F7 intrinsa
01F8 citadel
01F9 mailbox-lm
01FA ohimsrv
01FB crs
01FC xvttp
01FD snare
01FE fcp
01FF passgo
0200 biff
0201 who
0203 printer
0204 videotex
0205 talk
0207 utime
0208 router
0209 ripng
020A ulp
020B ibm-db2
020C ncp
020D timed
020E tempo
020F stx
0210 custix
0211 irc-serv
0212 courier
0213 conference
0214 netnews
0215 netwall
0216 mm-admin
0217 iiop
0218 opalis-rdv
0219 nmsp
021A gdomap
021B apertus-ldp
021C uucp
021D uucp-rlogin
021E commerce
0220 kshell
0221 appleqtcsrvr
0222 dhcpv6-client
0223 dhcpv6-server
0224 afpovertcp
0225 idfp
0226 new-rwho
0227 cybercash
0228 deviceshare
0229 pirp
022A rtsp
022C remotefs
022D openvms-sysipc
022E sdnskmp
022F teedtap
0230 rmonitor
0232 chshell
0233 nntps
0234 9pfs
0235 whoami
0236 streettalk
0237 banyan-rpc
0238 ms-shuttle
0239 ms-rome
023A meter
023B meter
023C sonar
023D banyan-vip
023E ftp-agent
023F vemmi
0240 ipcd
0241 vnas
0242 ipdd
0243 decbsrv
0244 sntp-heartbeat
0245 bdp
0246 scc-security
0247 philips-vc
0248 keyserver
0249 imap4-ssl
024A password-chg
024B submission
024C cal
024D eyelink
024E tns-cml
024F http-alt
0250 eudora-set
0251 http-rpc-epmap
0252 tpip
0253 cab-protocol
0254 smsd
0255 ptcnameservice
0256 sco-websrvrmg3
0257 acp
0258 ipcserver
025E urm
025F nqs
0260 sift-uft
0261 npmp-trap
0262 npmp-local
0263 npmp-gui
0264 hmmp-ind
0265 hmmp-op
0266 sshell
0267 sco-inetmgr
0268 sco-sysmgr
0269 sco-dtmgr
026A dei-icda
026B digital-evm
026C sco-websrvrmgr
026D escp-ip
026E collaborator
026F aux_bus_shunt
0270 cryptoadmin
0271 dec_dlm
0272 asia
0273 passgo-tivoli
0274 qmqp
0275 3com-amp3
0276 rda
0277 ipp
0278 bmpp
0279 servstat
027A ginad
027B rlzdbase
